us,ms,s
65121.1,65.1211,0.0651211
64942,64.942,0.064942
65129.1,65.1291,0.0651291
66420.7,66.4207,0.0664207
68172.2,68.1722,0.0681722
66853.1,66.8531,0.0668531
72348.1,72.3481,0.0723481
66783.4,66.7834,0.0667834
65245.6,65.2456,0.0652456
64253.7,64.2537,0.0642537
64323.4,64.3234,0.0643234
65683.5,65.6835,0.0656835
66556,66.556,0.066556
64438.5,64.4385,0.0644385
64709.2,64.7092,0.0647092
65127.9,65.1279,0.0651279
64599.4,64.5994,0.0645994
64752.4,64.7524,0.0647524
64337.9,64.3379,0.0643379
66038,66.038,0.066038
66351.9,66.3519,0.0663519
65521.6,65.5216,0.0655216
65189.7,65.1897,0.0651897
64514.5,64.5145,0.0645145
64787.2,64.7872,0.0647872
64387.2,64.3872,0.0643872
66070.6,66.0706,0.0660706
66271.1,66.2711,0.0662711
65055.7,65.0557,0.0650557
66395.9,66.3959,0.0663959
64616.3,64.6163,0.0646163
65148.8,65.1488,0.0651488
65814.2,65.8142,0.0658142
65126.2,65.1262,0.0651262
65602.4,65.6024,0.0656024
64770.2,64.7702,0.0647702
65346.4,65.3464,0.0653464
70949.9,70.9499,0.0709499
74980.6,74.9806,0.0749806
73294.8,73.2948,0.0732948
68474.2,68.4742,0.0684742
67917.5,67.9175,0.0679175
66383.3,66.3833,0.0663833
66385.1,66.3851,0.0663851
65953.8,65.9538,0.0659538
66010.9,66.0109,0.0660109
66304.9,66.3049,0.0663049
68004.9,68.0049,0.0680049
66556.8,66.5568,0.0665568
64729.2,64.7292,0.0647292
66730.8,66.7308,0.0667308
67355.3,67.3553,0.0673553
64982.7,64.9827,0.0649827
64816.3,64.8163,0.0648163
69024.7,69.0247,0.0690247
80349.6,80.3496,0.0803496
70043,70.043,0.070043
67707.6,67.7076,0.0677076
67214.9,67.2149,0.0672149
66750.2,66.7502,0.0667502
68289.7,68.2897,0.0682897
66529,66.529,0.066529
67792.1,67.7921,0.0677921
65652.2,65.6522,0.0656522
65921.9,65.9219,0.0659219
68822.7,68.8227,0.0688227
68988.7,68.9887,0.0689887
69336.8,69.3368,0.0693368
65880.2,65.8802,0.0658802
89052.7,89.0527,0.0890527
66923.4,66.9234,0.0669234
64610.6,64.6106,0.0646106
67233.5,67.2335,0.0672335
66333.7,66.3337,0.0663337
65612.6,65.6126,0.0656126
66482.5,66.4825,0.0664825
64933.8,64.9338,0.0649338
64982.1,64.9821,0.0649821
64809.4,64.8094,0.0648094
65647.5,65.6475,0.0656475
64448.1,64.4481,0.0644481
66079.3,66.0793,0.0660793
65647.9,65.6479,0.0656479
65926.6,65.9266,0.0659266
65824,65.824,0.065824
65080.7,65.0807,0.0650807
65025.6,65.0256,0.0650256
64375.3,64.3753,0.0643753
64905.6,64.9056,0.0649056
64576.7,64.5767,0.0645767
65327.2,65.3272,0.0653272
64778.6,64.7786,0.0647786
64635.6,64.6356,0.0646356
64500.3,64.5003,0.0645003
64661.2,64.6612,0.0646612
64379.6,64.3796,0.0643796
65043.9,65.0439,0.0650439
64724,64.724,0.064724
66943.1,66.9431,0.0669431
68342.2,68.3422,0.0683422
