us,ms,s
633512,633.512,0.633512
623944,623.944,0.623944
635712,635.712,0.635712
633831,633.831,0.633831
636383,636.383,0.636383
654606,654.606,0.654606
636990,636.99,0.63699
633107,633.107,0.633107
636204,636.204,0.636204
631762,631.762,0.631762
631019,631.019,0.631019
633417,633.417,0.633417
632256,632.256,0.632256
633123,633.123,0.633123
633936,633.936,0.633936
632354,632.354,0.632354
632650,632.649,0.632649
633912,633.912,0.633912
631115,631.115,0.631115
631927,631.927,0.631927
634059,634.059,0.634059
635855,635.855,0.635855
631988,631.988,0.631988
634523,634.523,0.634523
634787,634.787,0.634787
647602,647.602,0.647602
646186,646.186,0.646186
706685,706.685,0.706685
650243,650.243,0.650243
656748,656.748,0.656748
638221,638.221,0.638221
634349,634.349,0.634349
633262,633.262,0.633262
633278,633.278,0.633278
631410,631.41,0.63141
633928,633.928,0.633928
635329,635.329,0.635329
631825,631.825,0.631825
629861,629.861,0.629861
648622,648.622,0.648622
634742,634.742,0.634742
634454,634.453,0.634454
633690,633.69,0.63369
635044,635.044,0.635044
633297,633.297,0.633297
635244,635.244,0.635244
629890,629.89,0.62989
632543,632.543,0.632543
631839,631.839,0.631839
636084,636.084,0.636084
634873,634.873,0.634873
632773,632.773,0.632773
635570,635.569,0.63557
627972,627.972,0.627972
633864,633.864,0.633864
630250,630.25,0.63025
635818,635.818,0.635818
632922,632.922,0.632922
629322,629.322,0.629322
634188,634.188,0.634188
633552,633.553,0.633552
631917,631.917,0.631917
630215,630.215,0.630215
632772,632.772,0.632772
631049,631.049,0.631049
645310,645.31,0.64531
636266,636.266,0.636266
843656,843.656,0.843656
635309,635.309,0.635309
631557,631.557,0.631557
633276,633.276,0.633276
628283,628.283,0.628283
639326,639.326,0.639326
650073,650.073,0.650073
675014,675.014,0.675014
655408,655.408,0.655408
650850,650.85,0.65085
673488,673.488,0.673488
652828,652.828,0.652828
643912,643.912,0.643912
665246,665.246,0.665246
639006,639.006,0.639006
648110,648.11,0.64811
639598,639.598,0.639598
639934,639.934,0.639934
653565,653.565,0.653565
648144,648.144,0.648144
633840,633.84,0.63384
643274,643.274,0.643274
634095,634.095,0.634095
626594,626.595,0.626595
633620,633.62,0.63362
649932,649.932,0.649932
663415,663.415,0.663415
625816,625.816,0.625815
633428,633.428,0.633428
633210,633.21,0.63321
628214,628.214,0.628214
632192,632.192,0.632192
636892,636.892,0.636892
